Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,sig,effect_interpretation
model_name,Lasso,PCReg_MSE,0.20136783741552441,1.0043233606670563,0.10616379836432192,0.33283960335162477,True,True,8.3925776826181,6074.0,two-sided,5.857719568495383e-17,2.9288597842476914e-15,holm,2.291e+13,0.127245276560016,***,negligible (favors_first)
model_name,Lasso,PCReg_MSE_CV,0.20136783741552441,1.0043233606670563,0.19940858515800206,0.68797115270724,True,True,0.1943537344351001,6074.0,two-sided,0.8459054133226601,1.0,holm,0.015,0.002275929864205333,,negligible (favors_first)
model_name,Lasso,Ridge,0.20136783741552441,1.0043233606670563,0.15798748535884638,1.0643719388877546,True,True,3.3513203814905843,6074.0,two-sided,0.000809181531620597,0.01375608603755015,holm,3.945,0.0419195718942081,*,negligible (favors_first)
model_name,OLS,OLS_LearnOnly,0.1146305528980115,0.7557130487682423,0.8658043127910027,2.5266069928319084,True,True,-27.701332454185742,6074.0,two-sided,3.7092176962640373e-159,2.893189803085949e-157,holm,1.01e+155,-0.4027957330727645,***,small (favors_second)
model_name,OLS,PCReg_CV,0.1146305528980115,0.7557130487682423,0.10917052454797678,0.4353804027583829,True,True,0.600661722285023,6074.0,two-sided,0.5480877302309914,1.0,holm,0.017,0.008852955376190574,,negligible (favors_first)
model_name,OLS,PCReg_CV_Wrong,0.1146305528980115,0.7557130487682423,0.10938379848394758,0.4357842020212949,True,True,0.5770712642283169,6074.0,two-sided,0.563912702016915,1.0,holm,0.017,0.00850518402621509,,negligible (favors_first)
model_name,OLS,PCReg_ConstrainOnly,0.1146305528980115,0.7557130487682423,0.07983251215010094,0.263705291215314,True,True,4.001160483200326,6074.0,two-sided,6.378201861573754e-05,0.0015945504653934385,holm,42.726,0.061480166876014916,**,negligible (favors_first)
model_name,OLS,PCReg_GCV,0.1146305528980115,0.7557130487682423,0.12199847651735,0.4799527545198226,True,True,-0.7799928534165349,6074.0,two-sided,0.43542547394256015,1.0,holm,0.02,-0.011638398512239204,,negligible (favors_second)
model_name,OLS,PCReg_LogMSE,0.1146305528980115,0.7557130487682423,0.08620871948057858,0.2887755072328092,True,True,3.4158079280549973,6074.0,two-sided,0.0006400982085265245,0.01152176775347744,holm,4.904,0.04968068813099747,*,negligible (favors_first)
model_name,OLS,PCReg_LogMSE_CV,0.1146305528980115,0.7557130487682423,0.1525121502281473,0.6452953813711665,True,True,-4.073550960146237,6074.0,two-sided,4.6891122280062366e-05,0.0012389233865885885,holm,57.177,-0.05390711386290072,**,negligible (favors_second)
model_name,OLS,PCReg_MSE,0.1146305528980115,0.7557130487682423,0.10616379836432192,0.33283960335162477,True,True,0.9988397380632216,6074.0,two-sided,0.31791212169333827,1.0,holm,0.024,0.014499391315859578,,negligible (favors_first)
model_name,OLS,PCReg_MSE_CV,0.1146305528980115,0.7557130487682423,0.19940858515800206,0.68797115270724,True,True,-7.883830393872806,6074.0,two-sided,3.7369740830633265e-15,1.6442685965478636e-13,holm,3.821e+11,-0.11731045761175192,***,negligible (favors_second)
model_name,OLS,Ridge,0.1146305528980115,0.7557130487682423,0.15798748535884638,1.0643719388877546,True,True,-4.52227261237616,6074.0,two-sided,6.234193438142902e-06,0.00017455741626800126,holm,390.689,-0.04696920740658952,***,negligible (favors_second)
model_name,OLS_LearnOnly,PCReg_CV,0.8658043127910027,2.5266069928319084,0.10917052454797678,0.4353804027583829,True,True,23.819496483523196,6074.0,two-sided,5.758402849449129e-120,4.146050051603373e-118,holm,7.745e+115,0.4173325139963434,***,small (favors_first)
model_name,OLS_LearnOnly,PCReg_CV_Wrong,0.8658043127910027,2.5266069928319084,0.10938379848394758,0.4357842020212949,True,True,23.81813445954866,6074.0,two-sided,5.9321262633612386e-120,4.21180964698648e-118,holm,7.518e+115,0.4172037162600519,***,small (favors_first)
model_name,OLS_LearnOnly,PCReg_ConstrainOnly,0.8658043127910027,2.5266069928319084,0.07983251215010094,0.263705291215314,True,True,24.55964861110787,6074.0,two-sided,4.52896930893364e-127,3.351437288610894e-125,holm,9.509e+122,0.43752692086259093,***,small (favors_first)
model_name,OLS_LearnOnly,PCReg_GCV,0.8658043127910027,2.5266069928319084,0.12199847651735,0.4799527545198226,True,True,23.33305126330163,6074.0,two-sided,2.1458412730931873e-115,1.4806304784342992e-113,holm,2.128e+111,0.408989791216048,***,small (favors_first)
model_name,OLS_LearnOnly,PCReg_LogMSE,0.8658043127910027,2.5266069928319084,0.08620871948057858,0.2887755072328092,True,True,24.58661918887805,6074.0,two-sided,2.4760806373437207e-127,1.8570604780077904e-125,holm,1.737e+123,0.4335124985710777,***,small (favors_first)
model_name,OLS_LearnOnly,PCReg_LogMSE_CV,0.8658043127910027,2.5266069928319084,0.1525121502281473,0.6452953813711665,True,True,22.96713592266569,6074.0,two-sided,5.229749169861738e-112,3.556229435505982e-110,holm,8.888e+107,0.3868088666758303,***,small (favors_first)
model_name,OLS_LearnOnly,PCReg_MSE,0.8658043127910027,2.5266069928319084,0.10616379836432192,0.33283960335162477,True,True,24.033168469624794,6074.0,two-sided,5.342303330182031e-122,3.899881431032882e-120,holm,8.263e+117,0.42152428773404516,***,small (favors_first)
model_name,OLS_LearnOnly,PCReg_MSE_CV,0.8658043127910027,2.5266069928319084,0.19940858515800206,0.68797115270724,True,True,21.03718685348739,6074.0,two-sided,6.786272282015161e-95,4.546802428950158e-93,holm,7.559e+90,0.35987511631902697,***,small (favors_first)
model_name,OLS_LearnOnly,Ridge,0.8658043127910027,2.5266069928319084,0.15798748535884638,1.0643719388877546,True,True,24.87735320846245,6074.0,two-sided,3.565235463752467e-130,2.709578952451875e-128,holm,1.19e+126,0.36508792179868516,***,small (favors_first)
model_name,PCReg_CV,PCReg_CV_Wrong,0.10917052454797678,0.4353804027583829,0.10938379848394758,0.4357842020212949,True,True,-0.5996774551521254,6074.0,two-sided,0.5487435845707676,1.0,holm,0.017,-0.0004895991972016609,,negligible (favors_second)
model_name,PCReg_CV,PCReg_ConstrainOnly,0.10917052454797678,0.4353804027583829,0.07983251215010094,0.263705291215314,True,True,7.4646010241145,6074.0,two-sided,9.529868674200906e-14,3.907246156422372e-12,holm,1.581e+10,0.08150570998638534,***,negligible (favors_first)
model_name,PCReg_CV,PCReg_GCV,0.10917052454797678,0.4353804027583829,0.12199847651735,0.4799527545198226,True,True,-2.929854717268421,6074.0,two-sided,0.0034038296100246156,0.05446127376039385,holm,1.053,-0.027994132684092194,,negligible (favors_second)
model_name,PCReg_CV,PCReg_LogMSE,0.10917052454797678,0.4353804027583829,0.08620871948057858,0.2887755072328092,True,True,6.5927132492667,6074.0,two-sided,4.6825698517533156e-11,1.7325508451487268e-09,holm,3.634e+07,0.06215194692741001,***,negligible (favors_first)
model_name,PCReg_CV,PCReg_LogMSE_CV,0.10917052454797678,0.4353804027583829,0.1525121502281473,0.6452953813711665,True,True,-8.202372790958755,6074.0,two-sided,2.851229084955045e-16,1.3400776699288712e-14,holm,4.815e+12,-0.0787355028017441,***,negligible (favors_second)
model_name,PCReg_CV,PCReg_MSE,0.10917052454797678,0.4353804027583829,0.10616379836432192,0.33283960335162477,True,True,0.7257875876519397,6074.0,two-sided,0.46799696055723505,1.0,holm,0.019,0.007758481102429646,,negligible (favors_first)
model_name,PCReg_CV,PCReg_MSE_CV,0.10917052454797678,0.4353804027583829,0.19940858515800206,0.68797115270724,True,True,-14.252480539701095,6074.0,two-sided,2.316274092915434e-45,1.4824154194658777e-43,holm,3.372e+41,-0.15673532858037695,***,negligible (favors_second)
model_name,PCReg_CV,Ridge,0.10917052454797678,0.4353804027583829,0.15798748535884638,1.0643719388877546,True,True,-3.7388429283920668,6074.0,two-sided,0.0001865692926798341,0.004291093731636184,holm,15.528,-0.06003027359003323,**,negligible (favors_second)
model_name,PCReg_CV_Wrong,PCReg_ConstrainOnly,0.10938379848394758,0.4357842020212949,0.07983251215010094,0.263705291215314,True,True,7.509440580006268,6074.0,two-sided,6.794059852669243e-14,2.8535051381210822e-12,holm,2.205e+10,0.08204254350959604,***,negligible (favors_first)
model_name,PCReg_CV_Wrong,PCReg_GCV,0.10938379848394758,0.4357842020212949,0.12199847651735,0.4799527545198226,True,True,-2.8793121976944294,6074.0,two-sided,0.003999363068110903,0.05599108295355264,holm,0.909,-0.027517186378221967,,negligible (favors_second)
model_name,PCReg_CV_Wrong,PCReg_LogMSE,0.10938379848394758,0.4357842020212949,0.08620871948057858,0.2887755072328092,True,True,6.648436839602305,6074.0,two-sided,3.2205684803839935e-11,1.2238160225459174e-09,holm,5.241e+07,0.06268884310515646,***,negligible (favors_first)
model_name,PCReg_CV_Wrong,PCReg_LogMSE_CV,0.10938379848394758,0.4357842020212949,0.1525121502281473,0.6452953813711665,True,True,-8.150470411250216,6074.0,two-sided,4.3649532484836215e-16,2.007878494302466e-14,holm,3.165e+12,-0.07832533235955232,***,negligible (favors_second)
model_name,PCReg_CV_Wrong,PCReg_MSE,0.10938379848394758,0.4357842020212949,0.10616379836432192,0.33283960335162477,True,True,0.7771200594912454,6074.0,two-sided,0.4371182038428586,1.0,holm,0.02,0.008303946200717446,,negligible (favors_first)
model_name,PCReg_CV_Wrong,PCReg_MSE_CV,0.10938379848394758,0.4357842020212949,0.19940858515800206,0.68797115270724,True,True,-14.230745074224838,6074.0,two-sided,3.129795654115873e-45,1.971771262093e-43,holm,2.5e+41,-0.15632341669392652,***,negligible (favors_second)
model_name,PCReg_CV_Wrong,Ridge,0.10938379848394758,0.4357842020212949,0.15798748535884638,1.0643719388877546,True,True,-3.7218528193938005,6074.0,two-sided,0.00019955403414109778,0.004291093731636184,holm,14.577,-0.05976006269618419,**,negligible (favors_second)
model_name,PCReg_ConstrainOnly,PCReg_GCV,0.07983251215010094,0.263705291215314,0.12199847651735,0.4799527545198226,True,True,-9.340731702532025,6074.0,two-sided,1.3141456712058376e-20,6.964972057390939e-19,holm,9.174e+16,-0.10888436345181003,***,negligible (favors_second)
model_name,PCReg_ConstrainOnly,PCReg_LogMSE,0.07983251215010094,0.263705291215314,0.08620871948057858,0.2887755072328092,True,True,-4.808142552454297,6074.0,two-sided,1.560099859597694e-06,4.524289592833313e-05,holm,1474.593,-0.023056944306656755,***,negligible (favors_second)
model_name,PCReg_ConstrainOnly,PCReg_LogMSE_CV,0.07983251215010094,0.263705291215314,0.1525121502281473,0.6452953813711665,True,True,-10.49242194505385,6074.0,two-sided,1.5460166268983111e-25,8.812294773320373e-24,holm,6.933e+21,-0.14743705974376298,***,negligible (favors_second)
model_name,PCReg_ConstrainOnly,PCReg_MSE,0.07983251215010094,0.263705291215314,0.10616379836432192,0.33283960335162477,True,True,-11.00356230861894,6074.0,two-sided,6.72885811174925e-28,4.03731486704955e-26,holm,1.518e+24,-0.08768697299077184,***,negligible (favors_second)
model_name,PCReg_ConstrainOnly,PCReg_MSE_CV,0.07983251215010094,0.263705291215314,0.19940858515800206,0.68797115270724,True,True,-15.69236059259666,6074.0,two-sided,1.9772919488338015e-54,1.285239766741971e-52,holm,3.568e+50,-0.22950631208117395,***,small (favors_second)
model_name,PCReg_ConstrainOnly,Ridge,0.07983251215010094,0.263705291215314,0.15798748535884638,1.0643719388877546,True,True,-6.044684970168805,6074.0,two-sided,1.5859325562826825e-09,5.392170691361121e-08,holm,1.167e+06,-0.10078948890874263,***,negligible (favors_second)
model_name,PCReg_GCV,PCReg_LogMSE,0.12199847651735,0.4799527545198226,0.08620871948057858,0.2887755072328092,True,True,8.563454205719497,6074.0,two-sided,1.3724753196966493e-17,6.999624130452911e-16,holm,9.583e+13,0.09035618303156144,***,negligible (favors_first)
